,index,src_event_index,src_id,src_text,src_semantic_rep,src_file_name,src_class,src_type,src_content_desc,src_hint,src_parent_text,src_sibling_text,src_fillable_neighbor,src_neighbors,src_label,src_activity,src_atm_neighbor,src_app,target_event_index,target_id,target_text,target_semantic_rep,target_file_name,target_class,target_type,target_content_desc,target_hint,target_parent_text,target_sibling_text,target_fillable_neighbor,target_neighbors,target_label,target_activity,target_atm_neighbor,target_app,predict_score_temdroid
1158,1158,1,title,new list,New list,,android.widget.TextView,clickable,,,,,,,correct,shopping activity,,Shop4,3,ed quantity,,edQuantity,,android.widget.EditText,fillable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.055116504
1159,1159,1,title,new list,New list,,android.widget.TextView,clickable,,,,,,,correct,shopping activity,,Shop4,3,ed unit value,u,US$0.00 ,,android.widget.EditText,fillable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.11469748
1160,1160,1,title,new list,New list,,android.widget.TextView,clickable,,,,,,,correct,shopping activity,,Shop4,3,header description collumn,item add,No item was added,,android.widget.TextView,clickable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.07251019
1161,1161,1,title,new list,New list,,android.widget.TextView,clickable,,,,,,,correct,shopping activity,,Shop4,5,ed description,item,Add an item,,android.widget.EditText,fillable,,,,,Add an item,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.07934113
1162,1162,2,edittext,e g wishlist family list,e.g. wishlist family list Enter name of new shopping list,,android.widget.EditText,fillable,,,,,,Enter name of new shopping list Enter name of new shopping list,correct,shopping activity,,Shop4,1,,,New shopping list,,android.widget.EditText,fillable,,,,,,New shopping list New shopping list,correct,br com vansact main app,new shopping list,Shop4-Shop2,0.7820827
1163,1163,2,edittext,e g wishlist family list,e.g. wishlist family list Enter name of new shopping list,,android.widget.EditText,fillable,,,,,,Enter name of new shopping list Enter name of new shopping list,correct,shopping activity,,Shop4,0,name shopping list,add new list,Add a new list,,android.widget.TextView,clickable,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.30057278
1164,1164,2,edittext,e g wishlist family list,e.g. wishlist family list Enter name of new shopping list,,android.widget.EditText,fillable,,,,,,Enter name of new shopping list Enter name of new shopping list,correct,shopping activity,,Shop4,0,action bar title,shopping list,Shopping List,,android.widget.TextView,label,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.1402383
1165,1165,2,edittext,e g wishlist family list,e.g. wishlist family list Enter name of new shopping list,,android.widget.EditText,fillable,,,,,,Enter name of new shopping list Enter name of new shopping list,correct,shopping activity,,Shop4,0,action add,,New list action_add,,android.widget.TextView,clickable,new list,,,,,,wrong,br com vansact main app,,Shop4-Shop2,-0.014438883
1166,1166,2,edittext,e g wishlist family list,e.g. wishlist family list Enter name of new shopping list,,android.widget.EditText,fillable,,,,,,Enter name of new shopping list Enter name of new shopping list,correct,shopping activity,,Shop4,0,action bar,,More options,,android.widget.ImageButton,clickable,option,,,,,,wrong,br com vansact main app,,Shop4-Shop2,-0.04409697
1167,1167,2,edittext,e g wishlist family list,e.g. wishlist family list Enter name of new shopping list,,android.widget.EditText,fillable,,,,,,Enter name of new shopping list Enter name of new shopping list,correct,shopping activity,,Shop4,1,alert title,save,Save?,,android.widget.TextView,label,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.08001327
1168,1168,2,edittext,e g wishlist family list,e.g. wishlist family list Enter name of new shopping list,,android.widget.EditText,fillable,,,,,,Enter name of new shopping list Enter name of new shopping list,correct,shopping activity,,Shop4,1,message,new shopping list,New shopping list,,android.widget.TextView,label,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.6169907
1169,1169,2,edittext,e g wishlist family list,e.g. wishlist family list Enter name of new shopping list,,android.widget.EditText,fillable,,,,,,Enter name of new shopping list Enter name of new shopping list,correct,shopping activity,,Shop4,1,button,cancel,,,android.widget.Button,clickable,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.13131881
1170,1170,2,edittext,e g wishlist family list,e.g. wishlist family list Enter name of new shopping list,,android.widget.EditText,fillable,,,,,,Enter name of new shopping list Enter name of new shopping list,correct,shopping activity,,Shop4,2,,list,New shopping list,,android.widget.EditText,fillable,,,,,,New shopping list New shopping list,wrong,br com vansact main app,,Shop4-Shop2,-0.050572228
1171,1171,2,edittext,e g wishlist family list,e.g. wishlist family list Enter name of new shopping list,,android.widget.EditText,fillable,,,,,,Enter name of new shopping list Enter name of new shopping list,correct,shopping activity,,Shop4,3,action do,,Add item action_done,,android.widget.TextView,clickable,add item,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,-0.10168173
1172,1172,2,edittext,e g wishlist family list,e.g. wishlist family list Enter name of new shopping list,,android.widget.EditText,fillable,,,,,,Enter name of new shopping list Enter name of new shopping list,correct,shopping activity,,Shop4,3,action bar title,list,list1,,android.widget.TextView,clickable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.062890664
1173,1173,2,edittext,e g wishlist family list,e.g. wishlist family list Enter name of new shopping list,,android.widget.EditText,fillable,,,,,,Enter name of new shopping list Enter name of new shopping list,correct,shopping activity,,Shop4,3,search,,Search search,,android.widget.TextView,clickable,search,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.58671445
1174,1174,2,edittext,e g wishlist family list,e.g. wishlist family list Enter name of new shopping list,,android.widget.EditText,fillable,,,,,,Enter name of new shopping list Enter name of new shopping list,correct,shopping activity,,Shop4,3,action bar,,More options,,android.widget.ImageButton,clickable,option,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,-0.04409697
1175,1175,2,edittext,e g wishlist family list,e.g. wishlist family list Enter name of new shopping list,,android.widget.EditText,fillable,,,,,,Enter name of new shopping list Enter name of new shopping list,correct,shopping activity,,Shop4,3,ed description,add item,Add an item,,android.widget.EditText,fillable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,-0.028411476
1176,1176,2,edittext,e g wishlist family list,e.g. wishlist family list Enter name of new shopping list,,android.widget.EditText,fillable,,,,,,Enter name of new shopping list Enter name of new shopping list,correct,shopping activity,,Shop4,3,ed quantity,,edQuantity,,android.widget.EditText,fillable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,-0.012334166
1177,1177,2,edittext,e g wishlist family list,e.g. wishlist family list Enter name of new shopping list,,android.widget.EditText,fillable,,,,,,Enter name of new shopping list Enter name of new shopping list,correct,shopping activity,,Shop4,3,ed unit value,u,US$0.00 ,,android.widget.EditText,fillable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.23956178
1178,1178,2,edittext,e g wishlist family list,e.g. wishlist family list Enter name of new shopping list,,android.widget.EditText,fillable,,,,,,Enter name of new shopping list Enter name of new shopping list,correct,shopping activity,,Shop4,3,header description collumn,item add,No item was added,,android.widget.TextView,clickable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.15160984
1179,1179,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,2,button,ok,,,android.widget.Button,clickable,,,,,,,correct,br com vansact main app,,Shop4-Shop2,1
1180,1180,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,0,name shopping list,add new list,Add a new list,,android.widget.TextView,clickable,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.37859425
1181,1181,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,0,action bar title,shopping list,Shopping List,,android.widget.TextView,label,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.13202651
1182,1182,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,0,action add,,New list action_add,,android.widget.TextView,clickable,new list,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.025527613
1183,1183,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,0,action bar,,More options,,android.widget.ImageButton,clickable,option,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.051143598
1184,1184,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,1,,,New shopping list,,android.widget.EditText,fillable,,,,,,New shopping list New shopping list,wrong,br com vansact main app,new shopping list,Shop4-Shop2,0.026512496
1185,1185,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,1,alert title,save,Save?,,android.widget.TextView,label,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.024670059
1186,1186,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,1,message,new shopping list,New shopping list,,android.widget.TextView,label,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.16057283
1187,1187,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,1,button,cancel,,,android.widget.Button,clickable,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.060895573
1188,1188,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,2,,list,New shopping list,,android.widget.EditText,fillable,,,,,,New shopping list New shopping list,wrong,br com vansact main app,,Shop4-Shop2,-0.011984827
1189,1189,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,action do,,Add item action_done,,android.widget.TextView,clickable,add item,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.029597787
1190,1190,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,action bar title,list,list1,,android.widget.TextView,clickable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,-0.021956503
1191,1191,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,search,,Search search,,android.widget.TextView,clickable,search,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.17171897
1192,1192,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,action bar,,More options,,android.widget.ImageButton,clickable,option,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.051143598
1193,1193,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,ed description,add item,Add an item,,android.widget.EditText,fillable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,-0.057803925
1194,1194,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,ed quantity,,edQuantity,,android.widget.EditText,fillable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.03670008
1195,1195,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,ed unit value,u,US$0.00 ,,android.widget.EditText,fillable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,-0.005608439
1196,1196,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,header description collumn,item add,No item was added,,android.widget.TextView,clickable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.023147142
1197,1197,3,button,ok,,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,5,ed description,item,Add an item,,android.widget.EditText,fillable,,,,,Add an item,,wrong,br com vansact add item shopping list,,Shop4-Shop2,-0.05927444
1198,1198,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,action do,,Add item action_done,,android.widget.TextView,clickable,add item,,,,,,correct,br com vansact add item shopping list,,Shop4-Shop2,0.14269601
1199,1199,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,0,name shopping list,add new list,Add a new list,,android.widget.TextView,clickable,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.46330217
1200,1200,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,0,action bar title,shopping list,Shopping List,,android.widget.TextView,label,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.10070819
1201,1201,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,0,action add,,New list action_add,,android.widget.TextView,clickable,new list,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.11538391
1202,1202,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,0,action bar,,More options,,android.widget.ImageButton,clickable,option,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.10678438
1203,1203,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,1,,,New shopping list,,android.widget.EditText,fillable,,,,,,New shopping list New shopping list,wrong,br com vansact main app,new shopping list,Shop4-Shop2,-0.015727056
1204,1204,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,1,alert title,save,Save?,,android.widget.TextView,label,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.092477545
1205,1205,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,1,message,new shopping list,New shopping list,,android.widget.TextView,label,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.09651215
1206,1206,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,1,button,cancel,,,android.widget.Button,clickable,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,-0.036332056
1207,1207,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,1,button,ok,,,android.widget.Button,clickable,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.89390045
1208,1208,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,2,,list,New shopping list,,android.widget.EditText,fillable,,,,,,New shopping list New shopping list,wrong,br com vansact main app,,Shop4-Shop2,-0.018613018
1209,1209,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,action bar title,list,list1,,android.widget.TextView,clickable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.039702624
1210,1210,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,search,,Search search,,android.widget.TextView,clickable,search,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.09960468
1211,1211,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,action bar,,More options,,android.widget.ImageButton,clickable,option,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.10678438
1212,1212,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,ed description,add item,Add an item,,android.widget.EditText,fillable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,-0.053168707
1213,1213,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,ed quantity,,edQuantity,,android.widget.EditText,fillable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.02304254
1214,1214,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,ed unit value,u,US$0.00 ,,android.widget.EditText,fillable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.003169552
1215,1215,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,header description collumn,item add,No item was added,,android.widget.TextView,clickable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.018491738
1216,1216,6,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,5,ed description,item,Add an item,,android.widget.EditText,fillable,,,,,Add an item,,wrong,br com vansact add item shopping list,,Shop4-Shop2,-0.10093261
1217,1217,8,autocomplete add item,,autocomplete_add_item,,android.widget.EditText,fillable,,,,,,,correct,shopping activity,,Shop4,4,ed description,add item,Add an item,,android.widget.EditText,fillable,,,,,Add an item,,correct,br com vansact add item shopping list,,Shop4-Shop2,0.36279356
1218,1218,8,autocomplete add item,,autocomplete_add_item,,android.widget.EditText,fillable,,,,,,,correct,shopping activity,,Shop4,0,name shopping list,add new list,Add a new list,,android.widget.TextView,clickable,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.3067777
1219,1219,8,autocomplete add item,,autocomplete_add_item,,android.widget.EditText,fillable,,,,,,,correct,shopping activity,,Shop4,0,action bar title,shopping list,Shopping List,,android.widget.TextView,label,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.010281552
1220,1220,8,autocomplete add item,,autocomplete_add_item,,android.widget.EditText,fillable,,,,,,,correct,shopping activity,,Shop4,0,action add,,New list action_add,,android.widget.TextView,clickable,new list,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.32628348
1221,1221,8,autocomplete add item,,autocomplete_add_item,,android.widget.EditText,fillable,,,,,,,correct,shopping activity,,Shop4,0,action bar,,More options,,android.widget.ImageButton,clickable,option,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.18289061
1222,1222,8,autocomplete add item,,autocomplete_add_item,,android.widget.EditText,fillable,,,,,,,correct,shopping activity,,Shop4,1,,,New shopping list,,android.widget.EditText,fillable,,,,,,New shopping list New shopping list,wrong,br com vansact main app,new shopping list,Shop4-Shop2,0.18507966
1223,1223,8,autocomplete add item,,autocomplete_add_item,,android.widget.EditText,fillable,,,,,,,correct,shopping activity,,Shop4,1,alert title,save,Save?,,android.widget.TextView,label,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.12319245
1224,1224,8,autocomplete add item,,autocomplete_add_item,,android.widget.EditText,fillable,,,,,,,correct,shopping activity,,Shop4,1,message,new shopping list,New shopping list,,android.widget.TextView,label,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.07314525
1225,1225,8,autocomplete add item,,autocomplete_add_item,,android.widget.EditText,fillable,,,,,,,correct,shopping activity,,Shop4,1,button,cancel,,,android.widget.Button,clickable,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,-0.009529262
1226,1226,8,autocomplete add item,,autocomplete_add_item,,android.widget.EditText,fillable,,,,,,,correct,shopping activity,,Shop4,2,,list,New shopping list,,android.widget.EditText,fillable,,,,,,New shopping list New shopping list,wrong,br com vansact main app,,Shop4-Shop2,-0.06916527
1227,1227,8,autocomplete add item,,autocomplete_add_item,,android.widget.EditText,fillable,,,,,,,correct,shopping activity,,Shop4,3,action do,,Add item action_done,,android.widget.TextView,clickable,add item,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.24982928
1228,1228,8,autocomplete add item,,autocomplete_add_item,,android.widget.EditText,fillable,,,,,,,correct,shopping activity,,Shop4,3,action bar title,list,list1,,android.widget.TextView,clickable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,-0.036065318
1229,1229,8,autocomplete add item,,autocomplete_add_item,,android.widget.EditText,fillable,,,,,,,correct,shopping activity,,Shop4,3,search,,Search search,,android.widget.TextView,clickable,search,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.35319188
1230,1230,8,autocomplete add item,,autocomplete_add_item,,android.widget.EditText,fillable,,,,,,,correct,shopping activity,,Shop4,3,action bar,,More options,,android.widget.ImageButton,clickable,option,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.18289061
1231,1231,8,autocomplete add item,,autocomplete_add_item,,android.widget.EditText,fillable,,,,,,,correct,shopping activity,,Shop4,3,ed quantity,,edQuantity,,android.widget.EditText,fillable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.2885315
1232,1232,8,autocomplete add item,,autocomplete_add_item,,android.widget.EditText,fillable,,,,,,,correct,shopping activity,,Shop4,3,ed unit value,u,US$0.00 ,,android.widget.EditText,fillable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.52689207
1233,1233,8,autocomplete add item,,autocomplete_add_item,,android.widget.EditText,fillable,,,,,,,correct,shopping activity,,Shop4,3,header description collumn,item add,No item was added,,android.widget.TextView,clickable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.44199988
1234,1234,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,5,action do,,Add item action_done,,android.widget.TextView,clickable,add item,,,,,,correct,br com vansact add item shopping list,,Shop4-Shop2,0.14269601
1235,1235,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,0,name shopping list,add new list,Add a new list,,android.widget.TextView,clickable,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.46330217
1236,1236,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,0,action bar title,shopping list,Shopping List,,android.widget.TextView,label,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.10070819
1237,1237,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,0,action add,,New list action_add,,android.widget.TextView,clickable,new list,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.11538391
1238,1238,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,0,action bar,,More options,,android.widget.ImageButton,clickable,option,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.10678438
1239,1239,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,1,,,New shopping list,,android.widget.EditText,fillable,,,,,,New shopping list New shopping list,wrong,br com vansact main app,new shopping list,Shop4-Shop2,-0.015727056
1240,1240,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,1,alert title,save,Save?,,android.widget.TextView,label,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.092477545
1241,1241,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,1,message,new shopping list,New shopping list,,android.widget.TextView,label,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.09651215
1242,1242,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,1,button,cancel,,,android.widget.Button,clickable,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,-0.036332056
1243,1243,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,1,button,ok,,,android.widget.Button,clickable,,,,,,,wrong,br com vansact main app,,Shop4-Shop2,0.89390045
1244,1244,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,2,,list,New shopping list,,android.widget.EditText,fillable,,,,,,New shopping list New shopping list,wrong,br com vansact main app,,Shop4-Shop2,-0.018613018
1245,1245,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,action bar title,list,list1,,android.widget.TextView,clickable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.039702624
1246,1246,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,search,,Search search,,android.widget.TextView,clickable,search,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.09960468
1247,1247,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,action bar,,More options,,android.widget.ImageButton,clickable,option,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.10678438
1248,1248,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,ed description,add item,Add an item,,android.widget.EditText,fillable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,-0.053168707
1249,1249,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,ed quantity,,edQuantity,,android.widget.EditText,fillable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.02304254
1250,1250,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,ed unit value,u,US$0.00 ,,android.widget.EditText,fillable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.003169552
1251,1251,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,3,header description collumn,item add,No item was added,,android.widget.TextView,clickable,,,,,,,wrong,br com vansact add item shopping list,,Shop4-Shop2,0.018491738
1252,1252,9,button add item,add,Add,,android.widget.Button,clickable,,,,,,,correct,shopping activity,,Shop4,5,ed description,item,Add an item,,android.widget.EditText,fillable,,,,,Add an item,,wrong,br com vansact add item shopping list,,Shop4-Shop2,-0.10093261
1253,1253,1,title,new list,New list,,android.widget.TextView,clickable,,,,,,,correct,shopping activity,,Shop4,1,fab new list,,ic_input_add fab_new_list,ic input add,android.widget.ImageButton,clickable,,,,,,,correct,ui main activity,,Shop4-Shop3,0.9904583
1254,1254,1,title,new list,New list,,android.widget.TextView,clickable,,,,,,,correct,shopping activity,,Shop4,0,btn skip,skip,Skip,,android.widget.Button,clickable,,,,,,,wrong,ui tutorial activity,,Shop4-Shop3,0.02280917
1255,1255,1,title,new list,New list,,android.widget.TextView,clickable,,,,,,,correct,shopping activity,,Shop4,0,view pager,welcome,Welcome,,android.widget.TextView,label,,,,,,,wrong,ui tutorial activity,,Shop4-Shop3,0.054388855
1256,1256,1,title,new list,New list,,android.widget.TextView,clickable,,,,,,,correct,shopping activity,,Shop4,0,view pager,app create manage shopping list prioritize deadline reminder,With this app you can create and manage shopping lists. Lists can be prioritized have deadlines reminders and more.,,android.widget.TextView,label,,,,,,,wrong,ui tutorial activity,,Shop4-Shop3,-0.055402327
1257,1257,1,title,new list,New list,,android.widget.TextView,clickable,,,,,,,correct,shopping activity,,Shop4,0,,,â_¢,,android.widget.TextView,label,,,,,,,wrong,ui tutorial activity,,Shop4-Shop3,0.2014254
1258,1258,1,title,new list,New list,,android.widget.TextView,clickable,,,,,,,correct,shopping activity,,Shop4,0,btn next,next,Next,,android.widget.Button,clickable,,,,,,,wrong,ui tutorial activity,,Shop4-Shop3,0.032327462
1259,1259,1,title,new list,New list,,android.widget.TextView,clickable,,,,,,,correct,shopping activity,,Shop4,1,coordinator layout,shopping list,Shopping List,,android.widget.TextView,label,,,,,,,wrong,ui main activity,,Shop4-Shop3,0.002210153
1260,1260,1,title,new list,New list,,android.widget.TextView,clickable,,,,,,,correct,shopping activity,,Shop4,1,coordinator layout,,Open navigation drawer,,android.widget.ImageButton,clickable,open navigation drawer,,,,,,wrong,ui main activity,,Shop4-Shop3,0.013818571
1261,1261,1,title,new list,New list,,android.widget.TextView,clickable,,,,,,,correct,shopping activity,,Shop4,1,coordinator layout,n shopping list,You don't have any shopping lists,,android.widget.TextView,label,,,,,,,wrong,ui main activity,,Shop4-Shop3,-0.006084496
1262,1262,1,title,new list,New list,,android.widget.TextView,clickable,,,,,,,correct,shopping activity,,Shop4,1,coordinator layout,create list,CREATE A LIST,,android.widget.TextView,label,,,,,,,wrong,ui main activity,,Shop4-Shop3,-0.000108498
1263,1263,1,title,new list,New list,,android.widget.TextView,clickable,,,,,,,correct,shopping activity,,Shop4,2,list name,,list_name,,android.widget.EditText,fillable,,,shopping list name,,,,wrong,ui main activity,priority,Shop4-Shop3,0.8800969
1264,1264,1,title,new list,New list,,android.widget.TextView,clickable,,,,,,,correct,shopping activity,,Shop4,2,dialog title,new list,New List,,android.widget.TextView,label,,,,,,,wrong,ui main activity,,Shop4-Shop3,0.04254327
1265,1265,1,title,new list,New list,,android.widget.TextView,clickable,,,,,,,correct,shopping activity,,Shop4,2,input counter,,0 / 40,,android.widget.TextView,label,,,shopping list name,,,,wrong,ui main activity,,Shop4-Shop3,-0.006042422
1266,1266,1,title,new list,New list,,android.widget.TextView,clickable,,,,,,,correct,shopping activity,,Shop4,2,priority spinner content,priority,Priority,,android.widget.TextView,label,,,,,,,wrong,ui main activity,,Shop4-Shop3,-0.028267048
